track_id,track_name,artist,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness,popularity
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,other,0.7759999999999999,0.78,0.6659999999999999,0.0622,0.128,0.0,0.081,124.949,-4.374,87
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,other,0.49,0.618,0.286,0.0221,0.104,3.77e-06,0.259,99.7,-5.655,87
57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),Wallows,other,0.682,0.6829999999999999,0.64,0.156,0.0287,2.32e-05,0.273,120.023,-6.444,86
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,other,0.785,0.431,0.236,0.123,0.0364,0.0,0.0887,127.085,-8.756,86
30bqVoKjX479ab90a8Pafp,Star Shopping,Lil Peep,other,0.585,0.471,0.3229999999999999,0.0967,0.0616,0.0184,0.115,93.099,-9.934,86
527k23H0A4Q0UJN3vGs0Da,After Party,Don Toliver,other,0.629,0.6920000000000001,0.453,0.00981,0.0376,0.331,0.603,162.94799999999995,-8.045,86
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,other,0.74,0.613,0.473,0.258,0.145,0.00372,0.123,75.023,-4.88,86
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,other,0.585,0.52,0.129,0.124,0.0712,7.01e-05,0.131,159.80100000000004,-6.136,86
2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,other,0.905,0.647,0.3670000000000001,0.0187,0.107,0.0,0.282,130.97,-5.065,86
4lsHZ92XCFOQfzJFBTluk8,You Got It,Vedo,other,0.774,0.376,0.391,0.297,0.208,0.0,0.165,122.089,-9.372,86
6C6mUonH6MNdSg5pw7kOc9,Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,other,0.752,0.716,0.5529999999999999,0.254,0.0325,0.0,0.243,117.007,-5.2,86
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem,other,0.8079999999999999,0.745,0.8290000000000001,0.145,0.342,0.0,0.292,165.995,-5.26,86
2MlOUXmcofMackX3bxfSwi,Jerusalema (feat. Nomcebo Zikode),Master KG,other,0.88,0.483,0.8270000000000001,0.0185,0.0504,8.75e-06,0.0607,124.009,-7.0120000000000005,86
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),MEDUZA,other,0.632,0.595,0.435,0.0689,0.0401,0.0,0.209,124.114,-7.644,86
34LI7rwi9H8w2S5KTHnv1M,Quiéreme Mientras Se Pueda,Manuel Turizo,other,0.7929999999999999,0.782,0.81,0.447,0.0582,0.0,0.124,143.86,-3.945,86
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,other,0.588,0.521,0.337,0.0678,0.0329,0.149,0.123,85.012,-9.461,86
4TgxFMOn5yoESW6zCidCXL,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,other,0.758,0.598,0.6579999999999999,0.16,0.0868,0.0,0.295,149.836,-5.695,86
3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,other,0.787,0.6729999999999999,0.7859999999999999,0.256,0.158,3.57e-06,0.0904,110.962,-4.577,86
37ZtpRBkHcaq6hHy0X98zn,I CAN'T STOP ME,TWICE,other,0.657,0.88,0.769,0.121,0.102,0.0,0.463,150.084,-3.672,86
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,other,0.422,0.264,0.331,0.922,0.0322,0.0,0.132,119.93,-7.064,86
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Marshmello,other,0.63,0.633,0.452,0.0077599999999999,0.0457,0.0,0.0541,93.995,-7.087999999999999,86
6FuGJB290AQMAHTfjOYVaK,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,other,0.721,0.745,0.6990000000000001,0.151,0.0366,1.24e-06,0.3720000000000001,90.988,-3.508,86
7r9ZhitdQBONTFOiJW5mr8,Reloj,Rauw Alejandro,other,0.823,0.537,0.615,0.176,0.209,3.98e-06,0.123,175.946,-2.639,86
0TK2YIli7K1leLovkQiNik,Señorita,Shawn Mendes,other,0.759,0.54,0.75,0.037,0.0287,0.0,0.0945,116.947,-6.039,85
4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,BLACKPINK,other,0.6579999999999999,0.733,0.464,0.0066799999999999,0.0586,0.0,0.118,127.977,-4.756,85
3ThrfRAmijYU098H9q9tAs,Enchule,Rauw Alejandro,other,0.763,0.6659999999999999,0.5870000000000001,0.153,0.194,0.0,0.301,90.086,-3.3160000000000003,85
25zlnOAzbVoOzIeXSvQFf1,Got It On Me,Pop Smoke,other,0.688,0.647,0.195,0.00815,0.19,1.65e-05,0.095,88.834,-7.257999999999999,85
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,other,0.76,0.479,0.913,0.556,0.0466,0.0,0.0703,89.911,-5.574,85
4SFknyjLcyTLJFPKD2m96o,How You Like That,BLACKPINK,other,0.812,0.8,0.357,0.0375,0.077,0.000112,0.0638,130.036,-4.282,85
0ri0Han4IRJhzvERHOZTMr,At My Worst,Pink Sweat$,other,0.813,0.415,0.667,0.777,0.0349,0.0,0.131,91.921,-5.926,85
2bRKxuH1o7pTmb1y4GfdEc,Clean White Noise - Loopable with no fade,Erik Eriksson,other,0.0,0.00342,0.0,0.7909999999999999,0.0,1.0,0.111,0.0,-28.46,85
4jVBIpuOiMj1crqd8LoCrJ,FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,other,0.835,0.6990000000000001,0.547,0.00671,0.277,0.0,0.195,154.981,-5.405,85
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,other,0.598,0.526,0.529,0.129,0.0415,0.0,0.14,123.935,-8.658999999999999,85
6AzKhCHOms83jvNVLsz0Bt,Djadja (feat. Maluma) - Remix,Aya Nakamura,other,0.7909999999999999,0.682,0.672,0.175,0.158,0.0,0.0926,98.031,-7.3279999999999985,85
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION,other,0.7340000000000001,0.57,0.6890000000000001,0.847,0.133,2.14e-05,0.112,129.953,-7.066,85
6juLaduD4STCUDWT0AYun4,MORE,K/DA,other,0.66,0.787,0.199,0.00257,0.032,0.0,0.3229999999999999,142.018,-4.592,85
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,other,0.687,0.792,0.6709999999999999,0.191,0.0452,0.0,0.1669999999999999,100.015,-2.749,85
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,other,0.921,0.537,0.711,0.556,0.0804,0.00404,0.102,128.009,-5.723,85
7AFASza1mXqntmGtbxXprO,changes,XXXTENTACION,other,0.669,0.308,0.52,0.883,0.029,0.0,0.0984,64.934,-10.068,85
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,other,0.515,0.479,0.284,0.544,0.0261,0.00598,0.191,88.964,-7.457999999999997,85
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,other,0.878,0.525,0.6940000000000001,0.183,0.0578,0.0,0.0714,112.022,-6.8320000000000025,85
6Juv5N0dNU1imms9c9u1dA,Papi Chulo,Octavian,other,0.866,0.563,0.307,0.185,0.108,0.0,0.0889,127.954,-6.964,85
5DqdesEfbRyOlSS3Tf6c29,It's You,Ali Gatie,other,0.732,0.463,0.397,0.374,0.0287,0.0,0.194,95.971,-6.972,85
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,other,0.64,0.74,0.785,0.0115,0.0284,0.00678,0.1669999999999999,116.879,-4.083,85
